id,industry,code,name
ciiu_4210,42,4210,"Construcción de carreteras y vías de ferrocarril"
ciiu_4220,42,4220,"Construcción de proyectos de servicio público"
ciiu_4290,42,4290,"Construcción de otras obras de ingeniería civil"
ciiu_4311,43,4311,"Demolición"
ciiu_4312,43,4312,"Preparación del terreno"
ciiu_4321,43,4321,"Instalaciones eléctricas"
ciiu_4322,43,4322,"Instalaciones de fontanería  calefacción y aire acondicionado"
ciiu_4329,43,4329,"Otras instalaciones especializadas"
ciiu_4330,43,4330,"Terminación y acabado de edificios y obras de ingeniería civil"
ciiu_4390,43,4390,"Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil"
ciiu_4511,45,4511,"Comercio de vehículos automotores nuevos"
ciiu_4512,45,4512,"Comercio de vehículos automotores usados"
ciiu_4520,45,4520,"Mantenimiento y reparación de vehículos automotores"
ciiu_4530,45,4530,"Comercio de partes  piezas (autopartes) y accesorios (lujos) para vehículos automotores"
ciiu_4541,45,4541,"Comercio de motocicletas y de sus partes  piezas y accesorios"
ciiu_4542,45,4542,"Mantenimiento y reparación de motocicletas y de sus partes y piezas"
ciiu_4610,46,4610,"Comercio al por mayor a cambio de una retribución o por contrata"
ciiu_4620,46,4620,"Comercio al por mayor de materias primas agropecuarias, animales vivos"
ciiu_4631,46,4631,"Comercio al por mayor de productos alimenticios"
ciiu_4632,46,4632,"Comercio al por mayor de bebidas y tabaco"
ciiu_4641,46,4641,"Comercio al por mayor de productos textiles  productos confeccionados para uso doméstico"
ciiu_4642,46,4642,"Comercio al por mayor de prendas de vestir"
ciiu_4643,46,4643,"Comercio al por mayor de calzado"
ciiu_4644,46,4644,"Comercio al por mayor de aparatos y equipo de uso doméstico"
ciiu_4645,46,4645,"Comercio al por mayor de productos farmacéuticos  medicinales  cosméticos y de tocador"
ciiu_4649,46,4649,"Comercio al por mayor de otros utensilios domésticos n.c.p."
ciiu_4651,46,4651,"Comercio al por mayor de computadores  equipo periférico y programas de informática"
ciiu_4652,46,4652,"Comercio al por mayor de equipo  partes y piezas electrónicos y de telecomunicaciones"
ciiu_4653,46,4653,"Comercio al por mayor de maquinaria y equipo agropecuarios"
ciiu_4659,46,4659,"Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p."
ciiu_4661,46,4661,"Comercio al por mayor de combustibles sólidos  líquidos  gaseosos y productos conexos"
ciiu_4662,46,4662,"Comercio al por mayor de metales y productos metalíferos"
ciiu_4663,46,4663,"Comercio al por mayor de materiales de construcción  artículos de ferretería  pinturas  productos de vidrio  equipo y materiales de fontanería y calefacción"
ciiu_4664,46,4664,"Comercio al por mayor de productos químicos básicos  cauchos y plásticos en formas primarias y productos químicos de uso agropecuario"
ciiu_4665,46,4665,"Comercio al por mayor de desperdicios  desechos y chatarra"
ciiu_4669,46,4669,"Comercio al por mayor de otros productos n.c.p."
ciiu_4690,46,4690,"Comercio al por mayor no especializado"
ciiu_4711,47,4711,"Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos  bebidas o tabaco"
ciiu_4719,47,4719,"Comercio al por menor en establecimientos no especializados  con surtido compuesto principalmente por productos diferentes de alimentos (víveres en general)  bebidas y tabaco"
ciiu_4721,47,4721,"Comercio al por menor de productos agrícolas para el consumo en establecimientos especializados"
ciiu_4722,47,4722,"Comercio al por menor de leche  productos lácteos y huevos  en establecimientos especializados"
ciiu_4723,47,4723,"Comercio al por menor de carnes (incluye aves de corral)  productos cárnicos  pescados y productos de mar  en establecimientos especializados"
ciiu_4724,47,4724,"Comercio al por menor de bebidas y productos del tabaco  en establecimientos especializados"
ciiu_4729,47,4729,"Comercio al por menor de otros productos alimenticios n.c.p.  en establecimientos especializados"
ciiu_4731,47,4731,"Comercio al por menor de combustible para automotores"
ciiu_4732,47,4732,"Comercio al por menor de lubricantes (aceites  grasas)  aditivos y productos de limpieza para vehículos automotores"
ciiu_4741,47,4741,"Comercio al por menor de computadores  equipos periféricos  programas de informática y equipos de telecomunicaciones en establecimientos especializados"
ciiu_4742,47,4742,"Comercio al por menor de equipos y aparatos de sonido y de video  en establecimientos especializados"
ciiu_4751,47,4751,"Comercio al por menor de productos textiles en establecimientos especializados"
ciiu_4752,47,4752,"Comercio al por menor de artículos de ferretería  pinturas y productos de vidrio en establecimientos especializados"
ciiu_4753,47,4753,"Comercio al por menor de tapices  alfombras y cubrimientos para paredes y pisos en establecimientos especializados"
ciiu_4754,47,4754,"Comercio al por menor de electrodomésticos y gasodomésticos de uso doméstico  muebles y equipos de iluminación"
ciiu_4755,47,4755,"Comercio al por menor de artículos y utensilios de uso doméstico"
ciiu_4759,47,4759,"Comercio al por menor de otros artículos domésticos en establecimientos especializados"
ciiu_4761,47,4761,"Comercio al por menor de libros  periódicos  materiales y artículos de papelería y escritorio  en establecimientos especializados"
ciiu_4762,47,4762,"Comercio al por menor de artículos deportivos  en establecimientos especializados "
ciiu_4769,47,4769,"Comercio al por menor de otros artículos culturales y de entretenimiento n.c.p. en establecimientos especializados"
ciiu_4771,47,4771,"Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados"
ciiu_4772,47,4772,"Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados."
ciiu_4773,47,4773,"Comercio al por menor de productos farmacéuticos y medicinales  cosméticos y artículos de tocador en establecimientos especializados"
ciiu_4774,47,4774,"Comercio al por menor de otros productos nuevos en establecimientos especializados"
ciiu_4775,47,4775,"Comercio al por menor de artículos de segunda mano"
ciiu_4781,47,4781,"Comercio al por menor de alimentos  bebidas y tabaco  en puestos de venta móviles"
ciiu_4782,47,4782,"Comercio al por menor de productos textiles  prendas de vestir y calzado  en puestos de venta móviles"
ciiu_4789,47,4789,"Comercio al por menor de otros productos en puestos de venta móviles"
ciiu_4791,47,4791,"Comercio al por menor realizado a través de Internet"
ciiu_4792,47,4792,"Comercio al por menor realizado a través de casas de venta o por correo"
ciiu_4799,47,4799,"Otros tipos de comercio al por menor no realizado en establecimientos  puestos de venta o mercados."
ciiu_4911,49,4911,"Transporte férreo de pasajeros"
ciiu_4912,49,4912,"Transporte férreo de carga "
ciiu_4921,49,4921,"Transporte de pasajeros"
ciiu_4922,49,4922,"Transporte mixto"
ciiu_4923,49,4923,"Transporte de carga por carretera"
ciiu_4930,49,4930,"Transporte por tuberías"
ciiu_5011,50,5011,"Transporte de pasajeros marítimo y de cabotaje "
ciiu_5012,50,5012,"Transporte de carga marítimo y de cabotaje "
ciiu_5021,50,5021,"Transporte fluvial de pasajeros"
ciiu_5022,50,5022,"Transporte fluvial de carga"
ciiu_5111,51,5111,"Transporte aéreo nacional de pasajeros "
ciiu_5112,51,5112,"Transporte aéreo internacional de pasajeros "
